,location,date,variant,proportion,upper,lower
0,schanf,2024-01-08,BA.2.86,0.7119296771832009,0.9832420115494818,0.4978486848758864
1,schanf,2024-01-10,BA.2.86,0.9829573180627712,0.9975613341364041,0.9313765784768991
2,schanf,2024-01-15,BA.2.86,0.996193084285258,0.9985556267133011,0.9900148108559313
3,schanf,2024-01-16,BA.2.86,0.9877008628487483,0.997162280220496,0.9524174640242111
4,schanf,2024-01-17,BA.2.86,0.9429109259675621,0.994345900484182,0.8532998857038769
5,schanf,2024-01-18,BA.2.86,0.9985568285935856,0.999466749011847,0.9971855891912822
6,schanf,2024-01-19,BA.2.86,0.9973298321349527,0.9988108554039286,0.9944259253179341
7,schanf,2024-01-22,BA.2.86,0.9844637066533707,0.9960712539209087,0.9483486472331218
8,schanf,2024-01-24,BA.2.86,0.9903892329207079,0.9966863704579723,0.9784643402128692
9,schanf,2024-01-08,XBB.1.5,0.07544674753914733,0.2037274714116346,0.002694843434283964
10,schanf,2024-01-10,XBB.1.5,0.013954650377147389,0.05937057846810246,0.002438665863351432
11,schanf,2024-01-15,XBB.1.5,0.0006451351850530921,0.001972240132461793,4.888790317973432e-05
12,schanf,2024-01-16,XBB.1.5,0.01006814783605277,0.04646122512852704,0.002041064438082362
13,schanf,2024-01-17,XBB.1.5,0.011784733005074243,0.0500263528126359,0.0012791507167801762
14,schanf,2024-01-18,XBB.1.5,4.860357364031654e-05,9.625172788925039e-05,1.801681685625877e-05
15,schanf,2024-01-19,XBB.1.5,0.001867156360124374,0.0037676347838464324,0.0004316791533790806
16,schanf,2024-01-22,XBB.1.5,0.003867433547623637,0.009199046866032666,0.0014054340567956965
17,schanf,2024-01-24,XBB.1.5,0.0037010655969464262,0.007640727508707362,0.001290845519918441
18,schanf,2024-01-08,undetermined,0.21262357527765172,0.45045507573075827,1.2459340251738303e-18
19,schanf,2024-01-10,undetermined,0.003088031560081492,0.039042904551075765,5.553322278819927e-23
20,schanf,2024-01-15,undetermined,0.0031617805296889605,0.00953955539850025,0.0006587076283596227
21,schanf,2024-01-16,undetermined,0.0022309893151990436,0.017961938217896406,7.848905998402478e-24
22,schanf,2024-01-17,undetermined,0.04530434102736365,0.14041691343806456,1.0337040413231295e-14
23,schanf,2024-01-18,undetermined,0.0013945678327740591,0.0027750756359069826,0.00048200770534428434
24,schanf,2024-01-19,undetermined,0.0008030115049228875,0.003977610989815169,3.418882551446048e-21
25,schanf,2024-01-22,undetermined,0.011668859799005617,0.048571597134230954,4.814509880151615e-12
26,schanf,2024-01-24,undetermined,0.005909701482345613,0.018033052366183987,1.3209747982116294e-16
27,davos,2024-01-08,BA.2.86,0.9565561754203735,0.9795343187969661,0.9222938614630479
28,davos,2024-01-10,BA.2.86,0.9925161759479788,0.9979673314162446,0.9768171815615597
29,davos,2024-01-15,BA.2.86,0.9102506553454104,0.9663436560951096,0.7761514572411803
30,davos,2024-01-16,BA.2.86,0.9931197066913389,0.9980067959916696,0.9775099291013842
31,davos,2024-01-17,BA.2.86,0.9010061885442378,0.9684608595344346,0.8473319732992932
32,davos,2024-01-18,BA.2.86,0.9363780110047525,0.952709558937533,0.8983253984053706
33,davos,2024-01-19,BA.2.86,0.9582458980945409,0.9715007705757213,0.9273675178427814
34,davos,2024-01-22,BA.2.86,0.9971811384179307,0.9990753154370169,0.993205700994897
35,davos,2024-01-24,BA.2.86,0.9967824746819999,0.9990135624374515,0.9913559974777171
36,davos,2024-01-08,XBB.1.5,0.022136841819354935,0.03217836626263413,0.012312226533149156
37,davos,2024-01-10,XBB.1.5,0.002416347276773695,0.005691721830465533,0.0006020557306371676
38,davos,2024-01-15,XBB.1.5,0.02522663430383126,0.06160059703950999,0.0021892785993621626
39,davos,2024-01-16,XBB.1.5,0.0047479914134394025,0.010472450459954968,0.0012387555358114412
40,davos,2024-01-17,XBB.1.5,0.022360429995617936,0.07421227621817536,0.0037118856596721535
41,davos,2024-01-18,XBB.1.5,0.045133853425009196,0.055549533474510665,0.03544490543538382
42,davos,2024-01-19,XBB.1.5,0.019927569621493117,0.036120203277096044,0.003387693802223508
43,davos,2024-01-22,XBB.1.5,5.361359424052044e-05,9.82136712634432e-05,3.0327856972865127e-05
44,davos,2024-01-24,XBB.1.5,5.071926705723104e-05,9.961778247192655e-05,2.5437319163715216e-05
45,davos,2024-01-08,undetermined,0.021306982760271608,0.056690966159906854,2.479923974311385e-10
46,davos,2024-01-10,undetermined,0.005067476775247462,0.019840389606937243,9.74256446260301e-12
47,davos,2024-01-15,undetermined,0.06452271035075832,0.20644807773191376,7.6155184288508e-17
48,davos,2024-01-16,undetermined,0.0021323018952218,0.015327685393525445,5.337338473898889e-23
49,davos,2024-01-17,undetermined,0.07663338146014435,0.14000023883409707,0.006892489581020593
50,davos,2024-01-18,undetermined,0.018488135570238314,0.057301040567435645,2.4054823534612283e-11
51,davos,2024-01-19,undetermined,0.021826532283966013,0.058536053674957234,1.5309270859353178e-12
52,davos,2024-01-22,undetermined,0.002765247987828811,0.006750003152784604,0.0008858264603731772
53,davos,2024-01-24,undetermined,0.0031668060509429273,0.008593286380690297,0.0009522419284355038
