sample	batch	reads	proto	location_code	date
davos_20240116		251	v41	davos	2024-01-16
davos_20240122		251	v41	davos	2024-01-22
schanf_20240108		251	v41	schanf	2024-01-08
davos_20240118		251	v41	davos	2024-01-18
schanf_20240119		251	v41	schanf	2024-01-19
schanf_20240116		251	v41	schanf	2024-01-16
schanf_20240115		251	v41	schanf	2024-01-15
davos_20240110		251	v41	davos	2024-01-10
davos_20240108		251	v41	davos	2024-01-08
davos_20240115		251	v41	davos	2024-01-15
davos_20240124		251	v41	davos	2024-01-24
schanf_20240122		251	v41	schanf	2024-01-22
schanf_20240124		251	v41	schanf	2024-01-24
schanf_20240117		251	v41	schanf	2024-01-17
schanf_20240110		251	v41	schanf	2024-01-10
schanf_20240118		251	v41	schanf	2024-01-18
davos_20240117		251	v41	davos	2024-01-17
davos_20240119		251	v41	davos	2024-01-19
